zcta,population_2024,population_2024_moe,households_total,renter_households,renter_hh_share_pct,population_cagr_10yr_pct,population_2014_proxy,population_projection_2035,median_hh_income,median_renter_hh_income,pct_cost_burdened_30plus,pct_severely_cost_burdened_50plus,pct_under_5,under_5_count,under_5_density_per_sqmi,pct_dual_income_mc_hh,pct_bachelors_or_higher,foreign_born_pct,lep_pct,lep_speakers_5plus,top_language_1_name,top_language_1_speakers,top_language_2_name,top_language_2_speakers,top_language_3_name,top_language_3_speakers,top_language_4_name,top_language_4_speakers,top_language_5_name,top_language_5_speakers,pct_asian,pct_black,pct_hispanic,pct_white_nh,pct_other,pct_asian_2014,pct_black_2014,pct_hispanic_2014,pct_white_nh_2014,commute_min_seattle_cbd,commute_min_slu,commute_min_bellevue_cbd,commute_min_redmond_msft,commute_min_everett_boeing,commute_min_renton_boeing,moe_flags,acs_vintage
98119,26390,1542,13861,8418,60.73,1.44,22873,,125021,,32.94,12.34,3.6,950,391.8,4.12,71.48,14.57,2.39,609,Spanish,1154,Chinese (Mandarin/Cantonese),686,Other Indo-European,625,Other Asian/Pacific Island,273,Russian/Polish/Slavic,156,12.23,2.75,9.19,66.61,9.22,,,,,16.4,12.9,45.0,51.7,73.4,53.3,,ACS5 2019-2023
98121,20904,1463,13832,10342,74.77,1.44,18118,,148974,,33.23,17.25,0.53,111,250.0,0.64,77.8,40.1,9.18,1909,Other Indo-European,2736,Chinese (Mandarin/Cantonese),2116,Spanish,1041,Other Asian/Pacific Island,901,Korean,787,34.44,3.22,7.89,47.33,7.12,,,,,8.2,7.9,40.9,50.0,76.5,49.1,,ACS5 2019-2023
98122,42001,1579,23153,16682,72.05,1.44,36403,,106479,,41.6,19.01,2.28,957,409.7,2.41,71.5,17.18,4.38,1799,Spanish,1640,Chinese (Mandarin/Cantonese),1512,Other Indo-European,1468,German/W.Germanic,690,Other Asian/Pacific Island,614,14.73,9.1,8.08,58.08,10.01,,,,,13.0,14.9,28.1,44.2,76.8,45.0,,ACS5 2019-2023
98125,43807,1778,20148,10945,54.32,1.44,37968,,96725,,52.83,25.54,5.39,2362,435.4,4.79,60.65,21.72,9.24,3829,Spanish,2581,Chinese (Mandarin/Cantonese),2469,Other Indo-European,1278,Other Asian/Pacific Island,1123,Tagalog/Filipino,372,16.75,7.84,9.3,59.18,6.93,,,,,41.7,37.7,45.6,47.4,59.1,61.9,,ACS5 2019-2023
98126,22433,1254,10053,3981,39.6,1.44,19443,,114030,,48.98,20.22,6.44,1445,466.6,6.56,59.79,15.87,6.73,1413,Spanish,686,Other Indo-European,578,Other Asian/Pacific Island,342,Vietnamese,337,Korean,335,9.7,12.87,7.85,60.93,8.64,,,,,26.1,29.8,47.6,56.1,87.3,44.5,,ACS5 2019-2023
98133,52620,2121,23191,11790,50.84,1.44,45607,,92371,,51.03,25.36,5.14,2705,379.1,4.89,51.04,22.61,11.71,5843,Spanish,3268,Chinese (Mandarin/Cantonese),1761,Other Asian/Pacific Island,1586,Tagalog/Filipino,1221,Other Indo-European,1095,15.11,8.59,11.21,56.48,8.61,,,,,46.4,44.3,51.6,53.5,55.9,67.1,,ACS5 2019-2023
98134,779,97,210,138,65.71,1.44,675,,66119,,51.45,23.91,0.0,0,0.0,0.0,26.01,13.48,8.34,65,Other Asian/Pacific Island,37,Spanish,22,Chinese (Mandarin/Cantonese),10,Arabic,10,Tagalog/Filipino,9,11.3,7.96,7.32,56.23,17.2,,,,,14.1,18.4,39.9,50.3,81.9,43.9,renter_households,ACS5 2019-2023
98136,17299,1600,7872,2841,36.09,1.44,14993,,153636,,42.1,19.85,5.33,922,401.7,9.92,66.95,10.87,1.83,299,Spanish,837,German/W.Germanic,207,Chinese (Mandarin/Cantonese),177,French/Haitian/Cajun,165,Russian/Polish/Slavic,118,3.31,2.22,10.11,76.84,7.53,,,,,32.8,36.4,50.7,59.2,90.1,45.5,,ACS5 2019-2023
98144,33048,2010,15696,8465,53.93,1.44,28643,,94051,,49.53,20.71,3.76,1242,368.7,4.47,62.36,21.86,10.9,3467,Spanish,2498,Chinese (Mandarin/Cantonese),2077,Vietnamese,767,Other Indo-European,624,Other Asian/Pacific Island,546,19.33,12.8,11.17,44.95,11.75,,,,,17.0,20.8,29.3,45.4,80.8,38.4,,ACS5 2019-2023
98146,28182,1668,10507,3496,33.27,0.92,25719,,108460,,47.43,21.28,4.5,1267,274.0,6.77,37.18,25.96,17.18,4625,Spanish,4087,Vietnamese,1873,Other Asian/Pacific Island,543,Tagalog/Filipino,525,Arabic,480,18.71,8.46,20.15,46.25,6.43,,,,,42.5,45.3,51.6,60.0,95.5,38.1,,ACS5 2019-2023
